comuna,region
Nogales,Región de Valparaíso
Nueva Imperial,Región de la Araucanía
Ñuñoa,RM (Metropolitana)
O'Higgins,Región de Aysén del General Carlos Ibáñez del Campo
Olivar,Región del Libertador General Bernardo O'Higgins
Ollagüe,Región de Antofagasta
Olmué,Región de Valparaíso
Osorno,Región de Los Lagos
Ovalle,Región de Coquimbo
Padre Hurtado,RM (Metropolitana)
Padre las Casas,Región de la Araucanía
Paihuano,Región de Coquimbo
Paillaco,Región de Los Ríos
Paine,RM (Metropolitana)
Palena,Región de Los Lagos
Palmilla,Región del Libertador General Bernardo O'Higgins
Panguipulli,Región de Los Ríos
Panquehue,Región de Valparaíso
Papudo,Región de Valparaíso
Paredones,Región del Libertador General Bernardo O'Higgins
Parral,Región del Maule
Pedro Aguirre Cerda,RM (Metropolitana)
Pelarco,Región del Maule
Pelluhue,Región del Maule
Pemuco,Región de Ñuble
Peñaflor,RM (Metropolitana)
Peñalolén,RM (Metropolitana)
Pencahue,Región del Maule
Penco,Región del Biobío
Peralillo,Región del Libertador General Bernardo O'Higgins
Perquenco,Región de la Araucanía
Petorca,Región de Valparaíso
Peumo,Región del Libertador General Bernardo O'Higgins
Pica,Región de Tarapacá
Pichidegua,Región del Libertador General Bernardo O'Higgins
Pichilemu,Región del Libertador General Bernardo O'Higgins
Pinto,Región de Ñuble
Pirque,RM (Metropolitana)
Pitrufquén,Región de la Araucanía
Placilla,Región del Libertador General Bernardo O'Higgins
Portezuelo,Región de Ñuble
Porvenir,Región de Magallanes y la Antártica Chilena
Pozo Almonte,Región de Tarapacá
Primavera,Región de Magallanes y la Antártica Chilena
Providencia,RM (Metropolitana)
Puchuncaví,Región de Valparaíso
Pucón,Región de la Araucanía
Pudahuel,RM (Metropolitana)
Puente Alto,RM (Metropolitana)
Puerto Montt,Región de Los Lagos
Puerto Octay,Región de Los Lagos
Puerto Varas,Región de Los Lagos
Pumanque,Región del Libertador General Bernardo O'Higgins
Punitaqui,Región de Coquimbo
Punta Arenas,Región de Magallanes y la Antártica Chilena
Puqueldón,Región de Los Lagos
Purén,Región de la Araucanía
Purranque,Región de Los Lagos
Putaendo,Región de Valparaíso
Putre,Región de Arica y Parinacota
Puyehue,Región de Los Lagos
Queilén,Región de Los Lagos
Quellón,Región de Los Lagos
Quemchi,Región de Los Lagos
Quilaco,Región del Biobío
Quilicura,RM (Metropolitana)
Quilleco,Región del Biobío
Quillón,Región de Ñuble
Quillota,Región de Valparaíso
Quilpué,Región de Valparaíso
Quinchao,Región de Los Lagos
Quinta de Tilcoco,Región del Libertador General Bernardo O'Higgins
Quinta Normal,RM (Metropolitana)
Quintero,Región de Valparaíso
Quirihue,Región de Ñuble
Rancagua,Región del Libertador General Bernardo O'Higgins
Ránquil,Región de Ñuble
Rauco,Región del Maule
Recoleta,RM (Metropolitana)
Renaico,Región de la Araucanía
Renca,RM (Metropolitana)
Rengo,Región del Libertador General Bernardo O'Higgins
Requínoa,Región del Libertador General Bernardo O'Higgins
Residencia Extranjera,RM (Metropolitana)
Retiro,Región del Maule
Rinconada,Región de Valparaíso
Río Bueno,Región de Los Ríos
Río Claro,Región del Maule
Río Hurtado,Región de Coquimbo
Río Ibáñez,Región de Aysén del General Carlos Ibáñez del Campo
Río Negro,Región de Los Lagos
Río Verde,Región de Magallanes y la Antártica Chilena
Romeral,Región del Maule
Saavedra,Región de la Araucanía
Sagrada Familia,Región del Maule
Salamanca,Región de Coquimbo
San Antonio,Región de Valparaíso
San Bernardo,RM (Metropolitana)
San Carlos,Región de Ñuble
San Clemente,Región del Maule
San Esteban,Región de Valparaíso
San Fabián,Región de Ñuble
San Felipe,Región de Valparaíso
San Fernando,Región del Libertador General Bernardo O'Higgins
San Gregorio,Región de Magallanes y la Antártica Chilena
San Ignacio,Región de Ñuble
San Javier,Región del Maule
San Joaquín,RM (Metropolitana)
San José de Maipo,RM (Metropolitana)
San Juan de la Costa,Región de Los Lagos
San Miguel,RM (Metropolitana)
San Nicolás,Región de Ñuble
San Pablo,Región de Los Lagos
San Pedro,RM (Metropolitana)
San Pedro de Atacama,Región de Antofagasta
San Pedro de la Paz,Región del Biobío
San Rafael,Región del Maule
San Ramón,RM (Metropolitana)
San Rosendo,Región del Biobío
San Vicente,Región del Libertador General Bernardo O'Higgins
Santa Bárbara,Región del Biobío
Santa Cruz,Región del Libertador General Bernardo O'Higgins
Santa Juana,Región del Biobío
Santa María,Región de Valparaíso
Santiago,RM (Metropolitana)
Santo Domingo,Región de Valparaíso
Sierra Gorda,Región de Antofagasta
Talagante,RM (Metropolitana)
Talca,Región del Maule
Talcahuano,Región del Biobío
Taltal,Región de Antofagasta
Temuco,Región de la Araucanía
Teno,Región del Maule
Teodoro Schmidt,Región de la Araucanía
Tierra Amarilla,Región de Atacama
Tiltil,RM (Metropolitana)
Timaukel,Región de Magallanes y la Antártica Chilena
Tirúa,Región del Biobío
Tocopilla,Región de Antofagasta
Toltén,Región de la Araucanía
Tomé,Región del Biobío
Torres del Paine,Región de Magallanes y la Antártica Chilena
Tortel,Región de Aysén del General Carlos Ibáñez del Campo
Traiguén,Región de la Araucanía
Treguaco,Región de Ñuble
Tucapel,Región del Biobío
Valdivia,Región de Los Ríos
Vallenar,Región de Atacama
Valparaíso,Región de Valparaíso
Vichuquén,Región del Maule
Victoria,Región de la Araucanía
Vicuña,Región de Coquimbo
Vilcún,Región de la Araucanía
Villa Alegre,Región del Maule
Villa Alemana,Región de Valparaíso
Villarrica,Región de la Araucanía
Viña del Mar,Región de Valparaíso
Vitacura,RM (Metropolitana)
Yerbas Buenas,Región del Maule
Yumbel,Región del Biobío
Yungay,Región de Ñuble
Zapallar,Región de Valparaíso
